Gene,log2FoldChange,pvalue,padj
Gnai3,-0.0501,0.39,0.781
Cdc45,-0.253,0.128,0.534
H19,0.425,0.202,0.63
Scml2,0.0633,0.786,0.949
Narf,0.093,0.265,0.69
Cav2,-0.107,0.0509,0.369
Klf6,-0.162,0.121,0.522
Scmh1,0.118,0.0176,0.23
Cox5a,0.024,0.721,0.928
Tbx2,-0.0384,0.647,0.907
Tbx4,0.846,0.298,0.716
Ngfr,-0.559,0.231,0.661
Wnt9a,0.00525,0.961,0.991
Fer,0.0229,0.691,0.919
Xpo6,0.184,0.00611,0.134
Tfe3,-0.0815,0.294,0.714
Axin2,-0.00281,0.981,0.995
Brat1,0.0112,0.886,0.972
Gna12,0.0128,0.833,0.962
Slc22a18,-0.207,0.597,0.891
Pih1d2,-0.383,0.462,0.824
Dlat,0.0507,0.375,0.773
Sdhd,0.042,0.497,0.841
Fgf6,-0.43,0.299,0.717
Ccnd2,-0.375,0.0000886,0.0117
Gpr107,0.0377,0.451,0.818
Nalcn,-0.2,0.439,0.811
Slfn4,0.675,0.19,0.616
Th,0.408,0.704,0.923
Drp2,-0.343,0.34,0.748
Tspan32,-1.01,0.0555,0.384
Clec2g,-1.84,0.381,0.777
Gmpr,0.0858,0.0759,0.436
Mid2,-0.0266,0.73,0.931
Trim25,-0.102,0.0886,0.462
Dgke,-0.0673,0.306,0.722
Scpep1,-0.0886,0.341,0.748
Mnt,0.181,0.0116,0.187
Itgb2,-0.524,0.00721,0.148
Hddc2,-0.353,0.186,0.611
Tpd52l1,-0.203,0.161,0.581
Pemt,-0.308,0.302,0.719
Cdh1,-0.315,0.66,0.91
Cdh4,-1.54,0.0000129,0.00317
Ckmt1,0.118,0.809,0.954
Bcl6b,0.179,0.474,0.829
Clec10a,-0.27,0.181,0.607
Alox12,-0.00411,0.982,0.995
Comt,-0.13,0.291,0.713
Rtca,-0.054,0.435,0.809
Dbt,0.0389,0.527,0.856
Dazap2,-0.0308,0.387,0.78
Mcts1,0.0398,0.703,0.923
Rem1,0.436,0.000415,0.0309
Rnf17,-0.104,0.792,0.95
Trappc10,0.0276,0.523,0.854
Ccm2,-0.628,0.000164,0.0174
Tbrg4,-0.034,0.635,0.903
Mx1,-0.488,0.179,0.603
Fap,-0.299,0.00858,0.161
Ndufa9,0.1,0.0494,0.363
Egfl6,-0.512,0.489,0.837
Lck,-1.62,0.0472,0.357
Cttnbp2,0.399,0.0477,0.359
Galnt1,-0.0323,0.42,0.799
Mkrn2,0.0398,0.546,0.866
Pparg,-0.49,0.0174,0.229
Raf1,0.104,0.0192,0.239
Septin1,-0.599,0.0351,0.317
Pdgfb,0.23,0.00549,0.128
Acvrl1,0.0158,0.788,0.949
Tamalin,-0.0164,0.833,0.961
Acvr1b,0.124,0.049,0.362
Tom1l2,0.0975,0.0396,0.332
Zfp385a,-0.0171,0.817,0.957
Itga5,0.138,0.0157,0.219
Wdr77,-0.0436,0.538,0.862
Adora3,0.155,0.718,0.927
Atp5pb,0.0497,0.465,0.825
Sox9,0.485,0.0351,0.317
Hnrnpd,0.0572,0.214,0.643
Dynlt1c,0.194,0.223,0.654
C1d,-0.0211,0.722,0.928
Gm2a,-0.166,0.0917,0.469
Krit1,0.0224,0.635,0.903
Clcn4,0.065,0.122,0.524
Sema4f,-0.16,0.631,0.901
Hk2,0.217,0.0000353,0.00613
Myo18a,0.319,0.000091,0.0118
Sez6,0.0201,0.958,0.99
Haao,-1.85,0.0199,0.245
Cd52,-0.853,0.0655,0.409
Abhd15,-0.576,0.0368,0.321
Loxl3,-0.157,0.234,0.664
Kat2b,0.0365,0.439,0.812
Rab5b,0.0105,0.696,0.921
Dnmt3l,0.175,0.742,0.935
Aire,-0.91,0.552,0.869
Icosl,-0.243,0.0556,0.384
Spg7,0.0756,0.0897,0.465
Sult5a1,-0.468,0.186,0.611
Rpl13,-0.0218,0.674,0.914
Chmp1a,-0.044,0.373,0.771
Rpa1,0.0807,0.038,0.327
Serpinf1,-0.167,0.105,0.497
Tubgcp3,0.0382,0.444,0.815
Polr3d,-0.0632,0.336,0.744
Tcf7,-1.53,0.00875,0.163
Ddx3x,-0.0883,0.19,0.615
Il12rb1,-0.609,0.563,0.874
Slc5a5,0.795,0.257,0.685
Kcnn3,0.116,0.376,0.774
Usp32,-0.025,0.679,0.915
Car4,-0.134,0.385,0.778
Txnrd3,-0.0209,0.744,0.936
Zfp512b,0.122,0.224,0.655
Dnajc5,0.00824,0.874,0.969
Tpd52l2,-0.035,0.526,0.856
Fmr1,-0.104,0.12,0.521
Bcl11a,-0.125,0.557,0.871
Pxmp4,-0.152,0.021,0.251
Dlg3,0.0468,0.659,0.91
Gnb1l,0.0325,0.829,0.96
Dbh,-0.117,0.673,0.913
Mmp11,0.0658,0.57,0.877
Smarcb1,0.167,0.00458,0.115
Vpreb3,-2.57,0.0956,0.479
Hip1r,-0.000421,0.997,0.999
Nsun5,0.128,0.149,0.562
Top1mt,-0.315,0.00248,0.0844
Hoxa4,-0.481,0.329,0.74
Gm38393,0.265,0.358,0.761
Mmp14,-0.24,0.129,0.535
Slc7a7,-0.4,0.238,0.667
Oxa1l,0.0822,0.0648,0.407
Heatr6,0.143,0.0297,0.293
Ccl3,0.608,0.578,0.88
Ilf2,0.0383,0.492,0.838
Chtop,0.0801,0.0496,0.364
Snapin,0.092,0.0199,0.245
S100a4,-0.0234,0.931,0.984
S100a6,-0.0344,0.792,0.95
Scn4a,0.131,0.326,0.736
Icam2,-0.0908,0.227,0.657
Mapk7,0.165,0.0841,0.454
Epn2,0.03,0.475,0.829
B9d1,0.0205,0.909,0.979
Sec24b,0.111,0.0564,0.386
N4bp3,0.0051,0.962,0.991
Rmnd5b,0.103,0.153,0.569
Nhp2,-0.0159,0.839,0.962
Vps9d1,0.0354,0.563,0.874
Zfp276,-0.00172,0.982,0.995
Mfsd10,-0.102,0.283,0.704
Luzp1,0.0852,0.0371,0.322
Kctd10,-0.024,0.677,0.915
Poldip2,0.0893,0.0623,0.401
Ift20,0.0715,0.225,0.655
Col6a1,0.0636,0.435,0.809
Pcbp3,-0.122,0.444,0.814
Lgals9,-0.206,0.0264,0.278
Araf,0.0475,0.234,0.664
Cfp,-0.366,0.0245,0.269
Timp1,-0.557,0.12,0.521
Uxt,-0.143,0.102,0.49
Cnnm3,0.0335,0.662,0.911
Lman2l,0.0379,0.521,0.853
Mcm3ap,0.0914,0.0639,0.405
Pcnt,0.106,0.0942,0.475
Mxd1,-0.0515,0.516,0.85
Gmcl1,0.0169,0.845,0.964
Snrnp27,0.0372,0.629,0.901
Oas1c,-0.571,0.0467,0.356
Ocrl,-0.081,0.196,0.622
Calm1,-0.116,0.0138,0.206
Agpat3,0.114,0.0814,0.448
Slc26a3,-0.154,0.716,0.926
Sema6b,-0.145,0.246,0.673
Uhrf1,-0.494,0.017,0.227
Dpp9,0.0251,0.709,0.924
Ramp2,-0.109,0.267,0.692
Lsr,-0.13,0.618,0.898
Gramd1a,-0.109,0.132,0.54
Hpn,-0.569,0.00625,0.136
Ckb,-0.0237,0.734,0.933
Sp1,0.0151,0.827,0.96
Itgb7,-0.722,0.0867,0.459
Myg1,0.0269,0.768,0.943
Rarg,-0.0214,0.884,0.971
Pfdn5,-0.0124,0.758,0.939
Efnb2,-0.032,0.713,0.925
Rrp15,0.0307,0.761,0.941
Rnd2,-0.085,0.601,0.892
Srr,0.0251,0.625,0.9
Sync,0.118,0.112,0.508
Fndc5,0.0301,0.541,0.863
Acp5,-1.93,0.00493,0.12
Cnn1,0.44,0.316,0.728
Fbxo9,0.0284,0.644,0.906
Vps50,0.0136,0.828,0.96
Hars,0.00375,0.943,0.986
Zmat2,-0.141,0.0133,0.203
Ube2c,-1.04,0.00229,0.0805
Smg5,0.0532,0.308,0.723
Cct3,0.0679,0.201,0.63
Glmp,-0.0493,0.39,0.781
Mef2d,0.167,0.0261,0.278
Tmem79,-0.448,0.413,0.795
Snd1,0.0753,0.16,0.58
Col18a1,0.137,0.341,0.749
Slc19a1,-0.185,0.177,0.602
Kpnb1,0.0966,0.00179,0.0696
Npepps,0.0553,0.167,0.589
Tbx21,-0.488,0.572,0.878
Mrpl10,-0.00287,0.941,0.986
Cyp51,-0.112,0.192,0.617
Tcf25,0.017,0.576,0.879
Tubb6,0.116,0.181,0.607
Def8,0.0413,0.384,0.778
Meox1,-0.266,0.0438,0.346
Sost,0.051,0.924,0.983
Pax9,-0.782,0.141,0.553
Irx2,-0.00238,0.982,0.995
Col1a1,0.155,0.275,0.698
Itga3,0.0998,0.206,0.634
Sgca,0.184,0.00116,0.0534
Foxm1,-0.593,0.0242,0.268
Itfg2,0.0881,0.226,0.656
Nrip2,0.426,0.000987,0.0492
Tulp3,-0.0947,0.228,0.658
Gtf2h4,0.0484,0.554,0.87
Tubb5,-0.0942,0.347,0.753
Ell2,-0.0783,0.508,0.845
Jup,0.0848,0.193,0.618
Fkbp10,0.267,0.0023,0.0806
Klhl10,0.048,0.891,0.974
Nom1,-0.0371,0.543,0.864
Ergic1,-0.0435,0.47,0.827
Tnk1,-1.1,0.149,0.563
Acap1,-1.24,0.0292,0.29
Tcea3,0.162,0.0133,0.203
Ifrd1,0.0435,0.636,0.904
Stk38l,0.102,0.184,0.61
Brpf1,-0.0085,0.888,0.973
Akr1b3,0.0304,0.607,0.896
Gstt1,-0.173,0.02,0.245
Gstt3,-0.24,0.0862,0.459
Ddt,-0.038,0.517,0.851
Tat,-0.484,0.24,0.669
Ddx18,-0.0221,0.739,0.934
Ubl3,-0.0168,0.644,0.906
Gramd3,0.0307,0.659,0.91
Eef1e1,-0.157,0.162,0.582
Akt1,-0.00674,0.894,0.975
Cldn15,-0.237,0.253,0.681
Il16,-0.385,0.0143,0.209
Tcirg1,-0.137,0.147,0.561
Naglu,0.179,0.0418,0.339
Coasy,0.0112,0.895,0.975
Smo,0.0276,0.719,0.927
Tspan33,-0.0651,0.704,0.923
Crnkl1,-0.0063,0.929,0.983
Rin2,-0.0351,0.557,0.87
Folh1,-0.285,0.699,0.922
Chordc1,0.105,0.289,0.711
Rtcb,0.052,0.151,0.566
Pwp1,-0.027,0.673,0.913
Fbxo7,0.00731,0.924,0.983
Capns1,0.0872,0.000522,0.035
